year,0
1980,2883
1981,2932
1982,3397
1983,2924
1984,3486
1985,3632
1986,3272
1987,3163
1988,2659
1989,3505
1990,3981
1991,3470
1992,4508
1993,3172
1994,4121
1995,3587
1996,4486
1997,4565
1998,3623
1999,2796
2000,3358
2001,3072
2002,3105
2003,3393
2004,3606
2005,3565
2006,3067
2007,2536
2008,3095
2009,2651
2010,2453
2011,2807
2012,3554
2013,2887
2014,3050
2015,4108
2016,3501
2017,2956
2018,4551
2019,3781
2020,3238
2021,3214
2022,3044
2023,3601
